user_id,user_name,num_games,max_viewers
132766795,DejavuShotHD,2,370
498533506,LoLaQuest,2,368
67493484,Cabech,2,367
62744891,Renae,2,363
37743960,lifesimmer,2,361
188232354,AyyItsChevy,2,357
49368220,FROGPANTS,2,356
59357198,LMGtwitch,2,356
136167181,elbledavulvarde,2,352
438619543,DitxizSenpai,2,351
140175340,막내현진,2,350
431644708,INBoss1k,2,350
64073463,KryticZeuz,2,347
23874126,TearofGrace,2,346
60141325,FistofTheWalrus,2,345
73120323,Gravier,2,344
84866992,zmggg,2,344
435049951,TheDanDangler,2,342
54472092,m60_,2,342
30211673,Chriskeem,2,342
73735538,CantaPerMe92,2,341
40112597,b2ru,2,338
26395227,dakieksde,2,336
36852565,ATT_OficiaL,2,336
97322738,SpartanGeek,2,335
92820773,c1RcEEZY,2,335
79622099,dammit2hell,2,334
46078374,Wepic,2,331
26766376,阿土,2,331
12640214,Gammalunatic,2,328
65421010,RoccoDota,2,328
98117603,VERTiiGOGAMING,2,328
492407233,odumans,2,324
24387393,SpaceHamsterTFG,2,320
82493955,Malganyr,2,320
70964046,bunny_gif,2,318
36043506,Globtopus,2,317
422869781,groottik,2,315
92572569,caputile,2,313
151369939,LamprosFuriousGR,2,313
19309473,Pyrionflax,2,312
48317512,Budilicious,2,309
25181720,BarryIsStreaming,2,303
39334493,iiPOG,2,301
505364358,possible_orphan,2,301
427828010,tvshini,2,301
96031487,mills_rp,2,296
61963166,Dimitri,2,295
139558213,텔론_,2,295
63937599,darkosto,2,292
137914720,해기님,2,290
97245742,veibae,2,282
40604872,Godsmilla,2,282
31230849,mochez18,2,282
29237544,dlive22891,2,280
183637404,Kilnier,2,280
60450726,어스키,2,279
113239572,WatchGamesTV,2,279
93966055,Slevran,2,277
180861765,Anna_Chess,2,273
21730259,Elegy,2,270
116111131,t1von1,2,269
24538057,MrDeriv,2,268
414933908,안어이,2,265
26665405,Alveona,2,264
46965240,KiraArgenta,2,263
229714332,Bysouk,2,262
128479231,iamtrevormay,2,262
44692825,Arthars,2,258
38051463,ZoeyProasheck,2,258
21565409,ElvisaYomastercard,2,258
32679000,Mrhappy1227,2,257
277206785,HeyAfroTV,2,256
59981696,Luuauler,2,256
189831713,samchams,2,255
113840021,TobyontheTele,2,253
125356224,Sradd,2,253
113767628,GatoLetsPlay,2,252
35049749,LiBrizzi,2,251
62502182,NeoNess007,2,250
108267453,SpaceKatUniverse,2,249
63758697,LokenPlays,2,246
40170801,PatrckStatic,2,244
96221338,Strawburry17plays,2,242
64951974,iLFantasmaDelleNevi,2,240
37358842,Waggle,2,237
254038145,ghoulbagel,2,236
91418813,tendrils,2,236
41317630,GirlGamerChas,2,235
211921302,jordyybee,2,235
37905614,阿信信,2,233
111799555,BonsaiBroz,2,232
66238713,Mikecase,2,229
171233271,keny500,2,228
73528578,JackthePott,2,228
489490309,KnuTzfps,2,228
44190773,Neuro,2,226
139199359,SamuelTuckerYoung,2,225
476309100,SoyEloh,2,225
41749570,ChickenPrism,2,224
32967520,Cogumelando,2,223
157053493,leroyaliste,2,221
27138097,GrabaGra,2,219
41134315,pannshi,2,219
118385536,AchilleFPS,2,219
55121622,shahin200x,2,219
22993390,Noizen,2,217
77549092,Equuip,2,216
162176589,Smoke666,2,215
130012553,Freyah,2,215
136889002,icemo21,2,215
149702330,히라__,2,214
50885108,VKingPlays,2,213
148567255,ZvonimirTV,2,213
42588437,MitsuNohGames,2,212
20698451,Fahros,2,212
31389122,TsBlackii,2,210
77263984,Mindowner,2,209
140213270,mrs_honey,2,208
153594349,nicro4fun,2,206
106744619,StellaElf,2,206
193012109,nicohmygod,2,205
64853013,CrunchyEggrollz,2,205
93733614,Khaljiit,2,205
89336432,Loveabilities,2,203
134599550,dre3dd,2,202
111935599,jcyrus,2,197
504266709,jia_esports,2,196
7826707,Itexo,2,192
52650776,Qack_,2,191
115918436,LuckyElie,2,190
47167396,MrScheff,2,187
42797849,Skerax,2,185
23798553,MJRAMON,2,184
153742625,FortyOne,2,183
18730955,Nathanias,2,183
226969782,DragaoDoEspaco,2,183
272946500,MichaelRighini,2,183
80950351,SteamTeam,2,181
13163498,JuggernautJason,2,179
137443502,VelhoVamp1,2,178
276012445,りりまるまる,2,175
